light_index,color,sound_index,sound_category,movement,response
-1,-1,14,3,-1,1
-1,-1,11,2,-1,1
-1,-1,-1,-1,2,1
-1,-1,8,2,-1,1
-1,-1,-1,-1,1,1
0,2,-1,-1,-1,1
3,5,-1,-1,-1,-1
4,0,-1,-1,-1,-1
-1,-1,12,3,-1,1
-1,-1,-1,-1,1,0
-1,-1,4,1,-1,-1
5,0,-1,-1,-1,1
1,3,-1,-1,-1,1
1,2,-1,-1,-1,-1
2,2,-1,-1,-1,-1
3,4,-1,-1,-1,1
-1,-1,-1,-1,1,1
-1,-1,-1,-1,2,-1
2,3,-1,-1,-1,-1
-1,-1,13,3,-1,1
1,1,-1,-1,-1,-1
-1,-1,9,2,-1,1
-1,-1,2,0,-1,0
-1,-1,5,1,-1,1
0,1,-1,-1,-1,1
0,0,-1,-1,-1,-1
-1,-1,-1,-1,0,1
4,5,-1,-1,-1,-1
-1,-1,-1,-1,0,-1
-1,-1,7,1,-1,1
-1,-1,-1,-1,1,0
3,3,-1,-1,-1,-1
2,4,-1,-1,-1,1
5,5,-1,-1,-1,-1
-1,-1,-1,-1,2,1
-1,-1,6,1,-1,-1
-1,-1,0,0,-1,1
5,1,-1,-1,-1,0
-1,-1,3,0,-1,-1
4,4,-1,-1,-1,1
-1,-1,-1,-1,0,1
-1,-1,-1,-1,0,0
-1,-1,15,3,-1,-1
-1,-1,10,2,-1,1
-1,-1,1,0,-1,1
-1,-1,-1,-1,2,-1
